APYGARDOS_NR,APYGARDOS_PAVADINIMAS,APYLINKES_NR,APYLINKES_PAVADINIMAS,RINKEJU_SKAICIUS,VISO_DALYVAVO,BALSADEZEJE_GALIOJANTYS,BALSADEZEJE_NEGALIOJANTYS,PASTU_GALIOJANTYS,PASTU_NEGALIOJANTYS,VARDAS,PAVARDE,PARTIJA,BALSU_BALSADEZEJE,BALSU_PASTU,BALSU_VISO,PAPILDOMO_PROTOKOLO_POZYMIS,RKND_V_AR_ISSIKELE_PATS,RPL_UNIKALUS_NUMERIS,SAV,Sugeneravimo data
1,Akmenės rajono,4,Ramučių,1292,714,543,5,166,0,GITANAS,NAUSĖDA,,211,62,273,,T,1004,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,4,Ramučių,1292,714,543,5,166,0,SAULIUS,SKVERNELIS,,152,38,190,,T,1004,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,4,Ramučių,1292,714,543,5,166,0,INGRIDA,ŠIMONYTĖ,,88,42,130,,T,1004,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,4,Ramučių,1292,714,543,5,166,0,VYTENIS POVILAS,ANDRIUKAITIS,,47,10,57,,T,1004,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,4,Ramučių,1292,714,543,5,166,0,ARVYDAS,JUOZAITIS,,27,8,35,,T,1004,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,4,Ramučių,1292,714,543,5,166,0,MINDAUGAS,PUIDOKAS,,9,4,13,,T,1004,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,4,Ramučių,1292,714,543,5,166,0,NAGLIS,PUTEIKIS,,6,1,7,,T,1004,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,4,Ramučių,1292,714,543,5,166,0,VALENTINAS,MAZURONIS,,3,0,3,,T,1004,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,4,Ramučių,1292,714,543,5,166,0,VALDEMAR,TOMAŠEVSKI,,0,1,1,,T,1004,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,5,Agluonų,379,185,135,2,48,0,SAULIUS,SKVERNELIS,,52,19,71,,T,1005,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,5,Agluonų,379,185,135,2,48,0,GITANAS,NAUSĖDA,,37,11,48,,T,1005,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,5,Agluonų,379,185,135,2,48,0,INGRIDA,ŠIMONYTĖ,,22,10,32,,T,1005,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,5,Agluonų,379,185,135,2,48,0,VYTENIS POVILAS,ANDRIUKAITIS,,8,5,13,,T,1005,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,5,Agluonų,379,185,135,2,48,0,MINDAUGAS,PUIDOKAS,,6,2,8,,T,1005,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,5,Agluonų,379,185,135,2,48,0,ARVYDAS,JUOZAITIS,,7,1,8,,T,1005,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,5,Agluonų,379,185,135,2,48,0,NAGLIS,PUTEIKIS,,3,0,3,,T,1005,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,5,Agluonų,379,185,135,2,48,0,VALENTINAS,MAZURONIS,,0,0,0,,T,1005,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,5,Agluonų,379,185,135,2,48,0,VALDEMAR,TOMAŠEVSKI,,0,0,0,,T,1005,Akmenės rajono savivaldybė,2019-05-16 15:45
1,Akmenės rajono,6,Akmenės 1-oji,2072,1222,1035,10,176,1,GITANAS,NAUSĖDA,,370,50,420,,T,1006,Akmenės rajono savivaldybė,2019-05-16 15:45
